No.;Time;Comment;Scramble;Date;P.1
76;1:45.65;;U2 Uw' D2 F L Fw' Uw D' L U F Uw R' F2 L2 U D Rw Fw2 R U2 Rw2 L2 Fw B' F R2 Rw2 F' Fw' Uw2 U' D2 F' Fw' R L' B' Uw' U;2025-06-15 17:27:57;1:45.65
77;2:07.39;;Fw' Uw2 R2 D' Fw L Fw2 L D Rw' R Fw2 B L' Rw2 F2 Uw Fw2 F R' U' F' B2 L' Fw2 Rw' Fw B' Uw D' F' R B' L F' Rw Uw2 Rw2 R' B;2025-06-15 17:31:13;2:07.39
78;1:36.55;;Rw R B' U B F' D Uw2 U2 F' L B' D Fw' U' L Fw' Rw L F2 Uw Fw B D2 Rw2 F' U' R Uw F' B' Uw R Uw' L2 Rw U' F2 Rw Fw';2025-06-15 17:33:59;1:36.55
79;DNF(1:06.81);;Rw B2 D2 Fw' D B D2 Fw' L2 Rw' F Rw Fw2 L2 U2 Rw' D2 Fw Rw' L' F Rw' U' Rw' F' B2 Fw2 L' Rw U Fw Uw2 F Rw' D' U R' B2 Rw' F';2025-06-15 17:45:02;1:06.81
80;2:05.02;;D2 R2 F2 Fw' U2 B2 L2 D B Fw' Rw' Uw Rw Fw U F2 Fw B' Rw2 F D2 Rw2 R Fw Uw B Fw' L2 D' U Uw' Fw2 Rw' F Fw2 L U' Uw2 D' Rw';2025-06-15 17:48:25;2:05.02
81;1:39.19;;D2 L' F2 D F' Uw' L' Uw F2 U D2 Uw' Fw D Uw' U Fw R' F2 U2 R' B2 U Uw' L' Uw' Rw' L' Uw' Rw' L2 U2 F' Rw' Uw Fw R U L' B2;2025-06-15 17:51:28;1:39.19
82;2:13.09;;F2 Uw' U' L2 Uw F L2 F2 Fw2 L' Fw2 F' U' R2 Rw' Fw2 Rw L' R2 D2 B Rw D F U F2 D' B' Fw2 R2 B2 D' Uw' B2 R' D' F2 L2 Fw L';2025-06-15 17:53:46;2:13.09
83;DNF(1:40.42);;U2 Rw B' F2 R F' U L Uw L2 R2 D2 Rw Fw' Rw2 L' B2 Fw2 D2 L D U2 F2 B' D L2 U2 Fw' L' F2 L Fw' Rw' R2 B D Uw2 L' D' B2;2025-06-15 17:56:42;1:40.42
84;DNF(1:47.06);;B2 U L' Uw2 B2 Uw2 D Fw' F' Uw' L D2 Uw R2 L Rw2 U2 R2 Rw2 L2 Fw' Uw D B2 Rw2 Fw2 R Uw2 Rw' Fw' Uw D' B' R Uw' D2 Fw' U Fw' R';2025-06-15 18:00:45;1:47.06
85;2:30.55;;L' Rw D B2 U' F2 L2 B Rw' F2 R2 F R2 Fw' B' L R' F2 Fw D' F' U2 L2 F2 B' Rw' U' L U F L F' Uw' L R D2 R D Rw2 R2;2025-06-15 18:03:19;2:30.55
86;DNF(1:40.07);;Rw Uw U Fw' F B2 D B2 Fw2 D L2 B' Rw' R2 L D Fw2 D2 U Uw2 B L2 Uw' B Fw' L R D U2 Uw' L2 R' F' Rw D Rw' U2 Fw2 U2 Rw;2025-06-15 23:56:39;1:40.07
87;1:49.99;;Rw' R2 D R B2 D R' Uw B F' L Rw2 D' Rw' U D2 Uw2 F' Uw' F2 Rw R' L' F2 Fw Uw2 L2 U2 Uw Rw2 L Fw F2 R2 D' F D2 R' Fw' F';2025-06-15 23:59:41;1:49.99
88;1:55.54;;Uw2 R Rw2 Uw Rw Uw L U2 Fw2 F U Rw2 R' Fw' Rw2 U' F' L2 U L2 F2 D2 F' B' D2 R2 D2 B' R D2 R' Fw2 Uw R2 L Uw' L U' F2 L';2025-06-16 00:02:12;1:55.54
89;DNF(2:19.02);;U F2 Fw2 Rw2 Fw' B2 Rw L2 R' Uw2 F' Fw Uw' L' B2 R' D2 F2 U' Fw2 D2 B2 R Fw2 R Fw2 B2 D' R F2 B2 D2 R2 D' L' D2 B D2 L' Rw;2025-06-16 00:04:45;2:19.02
90;2:05.45;;B2 U' R B2 F2 R' F B2 Uw' D2 B F2 Fw U' Uw' D' Rw B' U' L' Fw2 Rw' U Rw L2 Fw2 L Fw2 R Fw Uw F Uw B2 Rw2 D Rw' U' R B2;2025-06-16 00:08:18;2:05.45
91;2:09.32;;Fw' D F2 U Uw D2 Fw F' Rw2 D L Rw2 U' F2 L2 R' Uw L' Uw U2 R2 Uw U' L2 R2 F2 Uw2 B D' Uw2 F2 R B2 F L U' R2 D2 L' Fw2;2025-06-16 00:11:13;2:09.32
92;1:44.69;;Rw2 R' Uw' R' L Uw' Fw' D Rw' L Uw' B' Fw' R2 Fw' D2 R2 Uw R' Rw' D2 Uw' Rw2 Uw' F2 U' L U B2 R' U Rw2 Uw' R' Fw' L2 Fw' F2 L' Fw';2025-06-16 00:13:50;1:44.69
93;DNF(1:32.82);;Rw R2 F' U Fw2 R' Fw2 B Uw B L' Uw Fw L2 Uw2 L2 U D2 L Rw' Fw2 Rw2 Fw' R' B2 R' B Uw' R F' D F U' R' Fw2 Uw2 L2 Rw' Uw D2;2025-06-16 00:16:10;1:32.82
94;2:01.62;;U2 D R' Uw' L B' F' Rw L' F' Rw2 L U' Uw' D2 Fw' Uw2 L2 B Rw Uw2 B2 Rw2 F2 Fw B' L' U Fw' R' L D B' U2 Rw U2 Rw' F B' D2;2025-06-16 16:45:52;2:01.62
95;1:40.71;;D' F U' Rw R B Fw2 U' R' B L Rw' D' Uw' Rw' Fw' R2 B2 Fw' D2 B2 L' R F Uw F' L' F B2 D Uw' F2 Fw2 U B R' Fw' R D' Rw';2025-06-16 16:48:57;1:40.71
96;2:00.22;;L2 Rw F Uw' L' R Rw B2 D2 B2 D2 U' Rw2 R2 F2 U B' Fw2 U' Uw Fw U' F Fw' U' Fw2 L' F' B D' Uw2 Rw' Uw2 F' R U2 L2 R' B2 Fw;2025-06-16 16:51:36;2:00.22
97;1:49.41;;U' Uw' F' U' R' Uw2 L' Fw D2 Rw' L B' Fw Rw' B R2 Fw' R2 U2 R D R2 Uw2 R2 L' Rw' D' L' D L' U2 D Rw2 F2 Uw' Rw Fw2 B2 D Rw;2025-06-16 16:54:40;1:49.41
98;1:41.52;;U F2 B2 U L F' Fw2 D2 F2 Rw B2 F2 Fw2 Uw2 B F2 Fw R2 B R Fw' F' Uw D2 Rw' B Uw' Fw' U B' Rw' F L' R F2 Uw D2 B' Rw2 Fw;2025-06-16 16:58:41;1:41.52
99;1:49.78;;L2 U' B F' D2 Uw B' D B' F2 D' Uw Fw' U2 L2 D B' L2 R D Rw R' Uw2 Rw' Uw F' U' R2 Fw D B' D B' L2 Fw' B R' U' D' Uw2;2025-06-16 17:00:59;1:49.78
100;1:41.53;;L U2 Fw U2 B F2 Rw2 Uw Fw Rw2 Uw2 Fw' U2 Rw' Uw2 D B Fw2 U B' F' R L Rw' D' L F2 Uw2 D' R L2 Uw2 Fw' B2 F2 R Fw R Fw F2;2025-06-16 17:03:43;1:41.53
101;1:50.61;;Rw R2 D' Rw F' B' U Rw' F' D2 L Rw2 R2 U' R2 Rw' L' B U' D Uw' R' F' B' Rw F2 B' D2 Uw Rw Uw Rw' Uw Fw' Rw2 U' Uw' D2 R' D';2025-06-16 17:06:19;1:50.61
102;1:48.29;;F Fw2 Rw D R D' F' D2 R Rw2 U2 Fw2 R2 Fw B2 U' D2 Fw' Rw F2 Rw2 B' Fw2 F U B2 L' U L F U' L R' D L2 R2 Uw' Rw' L' Fw2;2025-06-16 17:08:55;1:48.29
